;date;cum_power;day_power
0;2017-01-01;20111.0;
1;2017-01-02;20112.0;1.0
2;2017-01-03;20115.0;3.0
3;2017-01-04;20117.0;2.0
4;2017-01-05;20119.0;2.0
5;2017-01-06;20125.0;6.0
6;2017-01-07;20129.0;4.0
7;2017-01-08;20130.0;1.0
8;2017-01-09;20131.0;1.0
9;2017-01-10;20132.0;1.0
10;2017-01-11;20133.0;1.0
11;2017-01-12;20135.0;2.0
12;2017-01-13;20137.0;2.0
13;2017-01-14;20139.0;2.0
14;2017-01-15;20141.0;2.0
15;2017-01-16;20143.0;2.0
16;2017-01-17;20145.0;2.0
17;2017-01-18;20150.0;5.0
18;2017-01-19;20156.0;6.0
19;2017-01-20;20162.0;6.0
20;2017-01-21;20169.0;7.0
21;2017-01-22;20175.0;6.0
22;2017-01-23;20180.0;5.0
23;2017-01-24;20183.0;3.0
24;2017-01-25;20184.0;1.0
25;2017-01-26;20186.0;2.0
26;2017-01-27;20193.0;7.0
27;2017-01-28;20197.0;4.0
28;2017-01-29;20201.0;4.0
29;2017-01-30;20208.0;7.0
30;2017-01-31;20208.0;0.0
31;2017-02-01;20210.0;2.0
32;2017-02-02;20212.0;2.0
33;2017-02-03;20216.0;4.0
34;2017-02-04;20222.0;6.0
35;2017-02-05;20223.0;1.0
36;2017-02-06;20226.0;3.0
37;2017-02-07;20228.0;2.0
38;2017-02-08;20229.0;1.0
39;2017-02-09;20230.0;1.0
40;2017-02-10;20232.0;2.0
41;2017-02-11;20234.0;2.0
42;2017-02-12;20235.0;1.0
43;2017-02-13;20238.0;3.0
44;2017-02-14;20248.0;10.0
45;2017-02-15;20255.0;7.0
46;2017-02-16;20262.0;7.0
47;2017-02-17;20271.0;9.0
48;2017-02-18;20275.0;4.0
49;2017-02-19;20281.0;6.0
50;2017-02-20;20284.0;3.0
51;2017-02-21;20286.0;2.0
52;2017-02-22;20288.0;2.0
53;2017-02-23;20289.0;1.0
54;2017-02-24;20292.0;3.0
55;2017-02-25;20302.0;10.0
56;2017-02-26;20307.0;5.0
57;2017-02-27;20310.0;3.0
58;2017-02-28;20312.0;2.0
59;2017-03-01;20318.0;6.0
60;2017-03-02;20323.0;5.0
61;2017-03-03;20327.0;4.0
62;2017-03-04;20331.0;4.0
63;2017-03-05;20335.0;4.0
64;2017-03-06;20337.0;2.0
65;2017-03-07;20342.0;5.0
66;2017-03-08;20352.0;10.0
67;2017-03-09;20353.0;1.0
68;2017-03-10;20362.0;9.0
69;2017-03-11;20375.0;13.0
70;2017-03-12;20383.0;8.0
71;2017-03-13;20399.0;16.0
72;2017-03-14;20411.0;12.0
73;2017-03-15;20418.0;7.0
74;2017-03-16;20433.0;15.0
75;2017-03-17;20449.0;16.0
76;2017-03-18;20461.0;12.0
77;2017-03-19;20464.0;3.0
78;2017-03-20;20468.0;4.0
79;2017-03-21;20475.0;7.0
80;2017-03-22;20487.0;12.0
81;2017-03-23;20500.0;13.0
82;2017-03-24;20518.0;18.0
83;2017-03-25;20538.0;20.0
84;2017-03-26;20558.0;20.0
85;2017-03-27;20578.0;20.0
86;2017-03-28;20599.0;21.0
87;2017-03-29;20616.0;17.0
88;2017-03-30;20626.0;10.0
89;2017-03-31;20646.0;20.0
90;2017-04-01;20652.0;6.0
91;2017-04-02;20662.0;10.0
92;2017-04-03;20681.0;19.0
93;2017-04-04;20698.0;17.0
94;2017-04-05;20716.0;18.0
95;2017-04-06;20729.0;13.0
96;2017-04-07;20741.0;12.0
97;2017-04-08;20750.0;9.0
98;2017-04-09;20773.0;23.0
99;2017-04-10;20796.0;23.0
100;2017-04-11;20811.0;15.0
101;2017-04-12;20823.0;12.0
102;2017-04-13;20835.0;12.0
103;2017-04-14;20857.0;22.0
104;2017-04-15;20866.0;9.0
105;2017-04-16;20883.0;17.0
106;2017-04-17;20899.0;16.0
107;2017-04-18;20923.0;24.0
108;2017-04-19;20943.0;20.0
109;2017-04-20;20961.0;18.0
110;2017-04-21;20987.0;26.0
111;2017-04-22;20995.0;8.0
112;2017-04-23;21010.0;15.0
113;2017-04-24;21020.0;10.0
114;2017-04-25;21038.0;18.0
115;2017-04-26;21064.0;26.0
116;2017-04-27;21083.0;19.0
117;2017-04-28;21101.0;18.0
118;2017-04-29;21119.0;18.0
119;2017-04-30;21135.0;16.0
120;2017-05-01;21157.0;22.0
121;2017-05-02;21167.0;10.0
122;2017-05-03;21174.0;7.0
123;2017-05-04;21188.0;14.0
124;2017-05-05;21203.0;15.0
125;2017-05-06;21213.0;10.0
126;2017-05-07;21233.0;20.0
127;2017-05-08;21240.0;7.0
128;2017-05-09;21255.0;15.0
129;2017-05-10;21280.0;25.0
130;2017-05-11;21308.0;28.0
131;2017-05-12;21322.0;14.0
132;2017-05-13;21341.0;19.0
133;2017-05-14;21355.0;14.0
134;2017-05-15;21373.0;18.0
135;2017-05-16;21390.0;17.0
136;2017-05-17;21410.0;20.0
137;2017-05-18;21433.0;23.0
138;2017-05-19;21446.0;13.0
139;2017-05-20;21455.0;9.0
140;2017-05-21;21483.0;28.0
141;2017-05-22;21507.0;24.0
142;2017-05-23;21530.0;23.0
143;2017-05-24;21558.0;28.0
144;2017-05-25;21585.0;27.0
